run_id,model,segment,epoch,step,epoch_training_seconds,epoch_validation_seconds,epoch_checkpoint_seconds,wall_seconds,peak_allocated_bytes,peak_reserved_bytes
dynunet-control10k-seed0,dynunet,current,1,100,23.20505416020751,70.7111379019916,0.45823732763528824,93.91622258722782,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,2,200,22.68761395663023,4.950910806655884e-06,0.4247329719364643,117.06656392663717,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,3,300,22.723879002034664,6.48200511932373e-07,0.46728118136525154,140.21705467626452,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,4,400,22.944578148424625,7.599592208862305e-07,0.46283524483442307,163.63120749220252,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,5,500,22.75844394788146,8.605420589447021e-07,0.46148746088147163,186.85457475855947,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,6,600,22.752005994319916,8.828938007354736e-07,0.45044533535838127,210.07049468904734,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,7,700,22.784811425954103,7.748603820800781e-07,0.4727359339594841,233.3079531006515,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,8,800,22.759743452072144,1.259148120880127e-06,0.4638769067823887,256.5425719432533,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,9,900,22.769614845514297,9.201467037200928e-07,0.45279135555028915,279.77817998826504,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,10,1000,22.76053588464856,73.37020955607295,0.5007732883095741,376.3639342598617,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,11,1100,22.69932958483696,4.712492227554321e-06,0.4393952451646328,399.5689720995724,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,12,1200,22.75110388919711,8.866190910339355e-07,0.4627869240939617,422.76136450469494,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,13,1300,22.77983144298196,1.169741153717041e-06,0.4618551470339298,446.0060322806239,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,14,1400,22.790650200098753,1.0468065738677979e-06,0.4642878398299217,469.2606087513268,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,15,1500,22.80380282178521,4.2282044887542725e-06,0.4570353701710701,492.53134128823876,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,16,1600,22.77115759253502,7.7858567237854e-07,0.4602804370224476,515.7615844905376,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,17,1700,22.782890360802412,7.860362529754639e-07,0.4584854282438755,539.0069685988128,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,18,1800,22.817522384226322,9.723007678985596e-07,0.4596722200512886,562.2849515154958,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,19,1900,22.77907619252801,7.525086402893066e-07,0.777401503175497,585.5259714871645,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,20,2000,22.78037530556321,70.85677315294743,0.5004346407949924,679.9428687393665,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,21,2100,22.742333587259054,9.98377799987793e-07,0.4149741046130657,703.1905399076641,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,22,2200,22.736877221614122,7.189810276031494e-07,0.4611364044249058,726.3439453728497,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,23,2300,22.772541403770447,9.015202522277832e-07,0.46884507685899734,749.5797675512731,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,24,2400,22.771802686154842,7.7858567237854e-07,0.45976803079247475,772.8224888183177,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,25,2500,22.78279848396778,9.387731552124023e-07,0.45997895300388336,796.0674236044288,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,26,2600,22.802502676844597,7.189810276031494e-07,0.4579504579305649,819.3317793235183,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,27,2700,22.770717855542898,8.866190910339355e-07,0.4591993875801563,842.5626068972051,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,28,2800,22.778387635946274,6.593763828277588e-07,0.46846913173794746,865.8021271526814,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,29,2900,22.7808609418571,7.674098014831543e-07,0.4803513363003731,889.0534326918423,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,30,3000,22.78838850930333,71.33392447605729,0.5007271207869053,983.6583064123988,8171400704.0,11270094848.0
