run_id,model,segment,epoch,step,epoch_training_seconds,epoch_validation_seconds,epoch_checkpoint_seconds,wall_seconds,peak_allocated_bytes,peak_reserved_bytes
dynunet-control10k-seed0,dynunet,current,1,100,22.99437277019024,88.50532858073711,0.414344672113657,111.49974013864994,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,2,200,22.505610764026642,4.0531158447265625e-06,0.40959952771663666,134.42397326231003,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,3,300,22.558407317847013,6.705522537231445e-07,0.4341975040733814,157.39369621872902,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,4,400,22.622691299766302,8.493661880493164e-07,0.4479188024997711,180.45274000614882,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,5,500,22.613086860626936,9.723007678985596e-07,0.45291227847337723,203.5157339759171,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,6,600,22.631397288292646,6.593763828277588e-07,0.4264441356062889,226.60206996649504,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,7,700,22.611737690865993,1.0281801223754883e-06,0.45106593891978264,249.64237950742245,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,8,800,22.628894072026014,7.525086402893066e-07,0.42382070422172546,272.72455317899585,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,9,900,22.635176107287407,8.791685104370117e-07,0.4508909434080124,295.78555707633495,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,10,1000,22.642952300608158,66.56783981621265,0.4951947256922722,385.4494284428656,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,11,1100,22.558532521128654,7.599592208862305e-07,0.42328719794750214,408.50819217413664,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,12,1200,22.609283834695816,2.6710331439971924e-06,0.4454345703125,431.5426924414933,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,13,1300,22.632377572357655,5.368143320083618e-06,0.43532221391797066,454.62293115258217,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,14,1400,22.644107300788164,5.409121513366699e-06,0.4307258278131485,477.7045854702592,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,15,1500,22.658056441694498,7.860362529754639e-07,0.4846642017364502,500.79573905467987,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,16,1600,22.619568042457104,9.201467037200928e-07,0.45682723820209503,523.9021543599665,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,17,1700,22.626250952482224,7.227063179016113e-07,0.4535980708897114,546.9873936213553,8171400704.0,11270094848.0
